zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate
90744,22590.0,4930,17420.0,21.82381584772023,77.1137671536078
90745,28590.0,4210,20890.0,14.72542847149353,73.06750612102134
90746,13740.0,1860,9290.0,13.537117903930133,67.61280931586609
90755,5880.0,790,3810.0,13.435374149659864,64.79591836734694
90802,20060.0,2620,10330.0,13.060817547357924,51.49551345962114
90803,16880.0,870,10640.0,5.154028436018957,63.03317535545023
90804,17450.0,3270,10470.0,18.73925501432665,60.0
90805,40860.0,9360,28590.0,22.90748898678414,69.97063142437592
90806,17950.0,3910,12350.0,21.78272980501393,68.80222841225627
90807,16010.0,1700,10260.0,10.618363522798251,64.08494690818239
90808,19580.0,1210,12660.0,6.179775280898876,64.65781409601634
90810,16880.0,3300,12150.0,19.549763033175356,71.97867298578198
90813,21150.0,5630,14410.0,26.6193853427896,68.1323877068558
90814,9890.0,910,5560.0,9.201213346814964,56.21840242669363
90815,19130.0,1310,11960.0,6.847882906429692,62.5196027182436
91001,17260.0,1770,11340.0,10.254924681344148,65.70104287369641
91006,15590.0,1530,10450.0,9.81398332264272,67.03014753046826
91007,15430.0,1640,10280.0,10.628645495787428,66.62346079066754
91008,510.0,30,380.0,5.88235294117647,74.50980392156863
91010,12590.0,1660,8510.0,13.18506751389992,67.5933280381255
91011,9460.0,360,6850.0,3.8054968287526427,72.41014799154334
91016,19640.0,2210,12490.0,11.25254582484725,63.59470468431772
91020,3770.0,430,2460.0,11.405835543766578,65.25198938992042
91024,5490.0,310,3440.0,5.646630236794172,62.659380692167574
91030,12550.0,940,7780.0,7.49003984063745,61.992031872509955
91040,9600.0,1170,6980.0,12.1875,72.70833333333333
91042,12310.0,1810,9140.0,14.703493095044678,74.24857839155159
91101,10320.0,860,5450.0,8.333333333333332,52.81007751937985
91103,12000.0,1900,7890.0,15.833333333333332,65.75
91104,16240.0,1860,10500.0,11.453201970443349,64.65517241379311
91105,6750.0,340,4630.0,5.037037037037037,68.5925925925926
91106,11950.0,1010,6690.0,8.451882845188283,55.98326359832636
91107,16540.0,1300,10750.0,7.8597339782345825,64.99395405078597
91108,6360.0,220,4750.0,3.459119496855346,74.68553459119497
91201,9660.0,1690,7250.0,17.494824016563147,75.05175983436853
91202,10370.0,1390,7480.0,13.404050144648021,72.1311475409836
91203,7540.0,1290,5260.0,17.108753315649867,69.76127320954907
91204,7160.0,1460,4990.0,20.391061452513966,69.6927374301676
91205,15170.0,3230,11050.0,21.292023731048122,72.84113381674358
91206,14870.0,2220,10770.0,14.929388029589777,72.42770679219905
91207,4760.0,450,3540.0,9.453781512605042,74.36974789915966
91208,7760.0,630,5610.0,8.118556701030927,72.29381443298969
91210,180.0,0,130.0,0.0,72.22222222222221
91214,14290.0,1170,9730.0,8.187543736878936,68.08957312806159
91301,12170.0,720,8300.0,5.916187345932621,68.20049301561217
91302,11860.0,660,9040.0,5.564924114671164,76.22259696458684
91303,13230.0,2380,9200.0,17.989417989417987,69.53892668178382
91304,23720.0,3540,16500.0,14.924114671163574,69.56155143338954
91306,22060.0,3580,15790.0,16.228467815049864,71.57751586582049
91307,11910.0,970,8150.0,8.144416456759027,68.42989084802686
91311,19420.0,2100,13450.0,10.813594232749743,69.2584963954686
91316,13690.0,1510,9860.0,11.029948867786706,72.02337472607742
91320,21180.0,1250,12690.0,5.901794145420207,59.915014164305944
91321,15540.0,1830,10730.0,11.776061776061777,69.04761904761905
91324,14340.0,2030,9810.0,14.156206415620643,68.41004184100419
91325,16540.0,2260,11080.0,13.663845223700122,66.98911729141476
91326,18350.0,1320,12850.0,7.193460490463215,70.02724795640327
91331,44100.0,9500,34540.0,21.541950113378686,78.3219954648526
91335,35060.0,6360,25360.0,18.14033086138049,72.33314318311466
91340,15440.0,3100,12110.0,20.077720207253886,78.43264248704664
91342,43820.0,7640,32770.0,17.434961204929255,74.78320401643084
91343,27040.0,4940,19940.0,18.269230769230766,73.74260355029585
91344,25190.0,3080,18120.0,12.22707423580786,71.93330686780467
91345,9320.0,1400,6950.0,15.021459227467812,74.57081545064378
91350,20080.0,1310,13250.0,6.5239043824701195,65.98605577689243
91351,16480.0,2080,11260.0,12.62135922330097,68.3252427184466
91352,20990.0,4220,16200.0,20.10481181515007,77.1796093377799
91354,15100.0,890,9630.0,5.894039735099338,63.77483443708609
91355,15410.0,1020,9710.0,6.619078520441272,63.011031797534066
91356,13950.0,1590,10260.0,11.397849462365592,73.54838709677419
91360,20370.0,1520,12420.0,7.461953853706431,60.972017673048605
91361,10220.0,460,7330.0,4.500978473581213,71.72211350293543
91362,17830.0,1100,11570.0,6.16937745372967,64.89063376332025
91364,13290.0,1120,9750.0,8.427389014296462,73.36343115124153
91367,22380.0,2210,15620.0,9.874888293118858,69.79445933869526
91377,6620.0,310,4250.0,4.682779456193353,64.19939577039275
91381,9960.0,670,6500.0,6.7269076305220885,65.26104417670683
91384,11110.0,980,7390.0,8.82088208820882,66.51665166516652
91387,21130.0,2490,13780.0,11.784193090392806,65.21533364884051
91390,8950.0,640,5920.0,7.150837988826815,66.14525139664804
91401,18130.0,3110,12950.0,17.153888582460013,71.42857142857143
91402,29550.0,6490,22720.0,21.962774957698816,76.88663282571912
91403,13360.0,1160,9040.0,8.682634730538922,67.66467065868264
91405,23050.0,5100,16880.0,22.125813449023862,73.23210412147505
91406,24350.0,4290,17320.0,17.618069815195074,71.129363449692
91411,10910.0,1860,7450.0,17.048579285059578,68.28597616865261
91423,16840.0,1420,11180.0,8.432304038004752,66.3895486935867
91436,9180.0,350,7720.0,3.812636165577342,84.0958605664488
91501,9710.0,1180,6640.0,12.1524201853759,68.38311019567456
91502,5380.0,860,3480.0,15.985130111524162,64.68401486988847
91504,12210.0,1400,8520.0,11.466011466011466,69.77886977886978
91505,16550.0,1390,10720.0,8.398791540785497,64.77341389728096
91506,9910.0,830,6550.0,8.375378405650856,66.09485368314833
91601,20720.0,2930,11940.0,14.14092664092664,57.625482625482626
91602,10680.0,930,6510.0,8.707865168539326,60.95505617977528
91604,15680.0,1170,10710.0,7.461734693877552,68.30357142857143
91605,24150.0,5220,18100.0,21.614906832298136,74.94824016563147
91606,19970.0,3850,14150.0,19.278918377566352,70.85628442663996
91607,14970.0,1770,9460.0,11.823647294589177,63.19305277221109
91701,18880.0,1970,12170.0,10.434322033898304,64.45974576271186
91702,27660.0,4620,19440.0,16.702819956616054,70.28199566160521
91706,34770.0,7140,25830.0,20.534943917169972,74.28817946505607
91708,7840.0,1110,5070.0,14.158163265306122,64.66836734693877
91709,37230.0,3760,23930.0,10.099382218640882,64.2761214074671
91710,37500.0,5340,25720.0,14.24,68.58666666666666
91711,16110.0,1240,10170.0,7.697082557417753,63.128491620111724
91722,17650.0,2630,12150.0,14.90084985835694,68.83852691218131
91723,9930.0,1450,6420.0,14.602215508559919,64.6525679758308
91724,13080.0,1620,8780.0,12.385321100917432,67.12538226299695
91730,32520.0,5160,19950.0,15.867158671586715,61.34686346863468
91731,12130.0,2820,9060.0,23.248145094806265,74.69084913437757
91732,26110.0,5860,19540.0,22.443508234392954,74.83722711604749
91733,18380.0,4190,14060.0,22.79651795429815,76.4961915125136
91737,11390.0,1150,7520.0,10.09657594381036,66.02282704126426
91739,17510.0,2020,11560.0,11.536264991433466,66.01941747572816
91740,12660.0,1550,8320.0,12.243285939968404,65.71879936808847
91741,12800.0,930,8520.0,7.265625000000001,66.5625
91744,38290.0,7460,28200.0,19.482893705928443,73.64847218594933
91745,26480.0,3440,18120.0,12.990936555891238,68.42900302114803
91746,13890.0,2670,10400.0,19.222462203023756,74.87401007919367
91748,22210.0,3550,15460.0,15.983791085096804,69.60828455650608
91750,16500.0,1390,10860.0,8.424242424242424,65.81818181818181
91752,17610.0,2890,12200.0,16.41113003975014,69.27881885292447
91754,17690.0,3080,11990.0,17.410966647823628,67.7784058790277
91755,14890.0,3310,10560.0,22.229684351914038,70.92008059100067
91761,31070.0,4770,21100.0,15.352429996781462,67.91116832957837
91762,30490.0,5490,20890.0,18.005903574942607,68.51426697277796
91763,17420.0,3350,12120.0,19.230769230769234,69.5752009184845
91764,25340.0,5090,16950.0,20.086819258089978,66.89029202841358
91765,22800.0,2390,14920.0,10.482456140350878,65.43859649122807
91766,31100.0,6280,22370.0,20.192926045016076,71.92926045016077
91767,22460.0,4350,15370.0,19.367764915405164,68.4327693677649
91768,13930.0,2920,9840.0,20.96195262024408,70.6389088298636
91770,29060.0,6440,21180.0,22.161046111493462,72.88368891947694
91773,16550.0,1570,10730.0,9.486404833836858,64.83383685800604
91775,11290.0,1170,7260.0,10.363153232949513,64.30469441984057
91776,18810.0,3970,13310.0,21.105794790005316,70.76023391812866
91780,17310.0,2440,11640.0,14.095898324667822,67.24436741767764
91784,13810.0,910,9370.0,6.589427950760318,67.84938450398262
91786,25300.0,4160,15970.0,16.442687747035574,63.12252964426877
91789,20820.0,2230,13670.0,10.710854947166187,65.65802113352545
91790,21810.0,3460,15070.0,15.86428243924805,69.09674461256304
91791,16270.0,2100,11280.0,12.907191149354642,69.3300553165335
91792,14230.0,2090,9570.0,14.687280393534785,67.25228390723824
91801,25830.0,4010,16540.0,15.524583817266743,64.03406891211769
91803,14790.0,2390,9870.0,16.15956727518594,66.73427991886409
91901,8040.0,660,4790.0,8.208955223880597,59.5771144278607
91902,8920.0,870,5770.0,9.753363228699552,64.68609865470853
91905,740.0,120,400.0,16.216216216216218,54.054054054054056
91906,1700.0,290,960.0,17.058823529411764,56.470588235294116
91910,40060.0,6640,24720.0,16.575137294058912,61.70743884173739
91911,43810.0,8820,28120.0,20.132389865327553,64.18625884501256
91913,26770.0,2850,15720.0,10.646245797534554,58.72245050429585
91914,7920.0,620,4980.0,7.828282828282829,62.878787878787875
91915,15990.0,1760,9370.0,11.006879299562227,58.59912445278299
91916,930.0,90,570.0,9.67741935483871,61.29032258064516
91917,570.0,160,400.0,28.07017543859649,70.17543859649122
91932,12320.0,2340,6950.0,18.993506493506494,56.41233766233766
91934,270.0,90,130.0,33.33333333333333,48.148148148148145
91935,4460.0,450,2790.0,10.089686098654708,62.5560538116592
91941,16160.0,1650,9150.0,10.21039603960396,56.62128712871287
91942,20700.0,2190,10330.0,10.579710144927535,49.90338164251208
91945,13450.0,2260,7430.0,16.802973977695167,55.24163568773234
91950,27950.0,5970,18090.0,21.359570661896242,64.7227191413238
91962,900.0,60,520.0,6.666666666666667,57.77777777777777
91963,720.0,220,490.0,30.555555555555557,68.05555555555556
91977,29030.0,4980,16670.0,17.15466758525663,57.42335514984499
91978,4930.0,730,2860.0,14.807302231237324,58.012170385395535
91980,1210.0,400,890.0,33.057851239669425,73.55371900826447
92003,2930.0,270,1880.0,9.215017064846416,64.16382252559727
92004,1420.0,240,900.0,16.901408450704224,63.38028169014085
92007,5760.0,310,3510.0,5.381944444444445,60.9375
92008,14210.0,900,8040.0,6.33356790992259,56.5798733286418
92009,21160.0,1000,12470.0,4.725897920604915,58.93194706994329
92010,9020.0,590,4950.0,6.541019955654102,54.87804878048781
92011,11850.0,590,6980.0,4.9789029535864975,58.90295358649789
92014,7280.0,240,4800.0,3.296703296703297,65.93406593406593
92019,20550.0,3160,13620.0,15.37712895377129,66.27737226277372
92020,25960.0,5220,15940.0,20.107858243451464,61.40215716486903
92021,31360.0,6100,18410.0,19.4515306122449,58.70535714285714
92024,24890.0,1390,15340.0,5.584572117316191,61.6311771795902
92025,22340.0,3510,13430.0,15.711727842435094,60.116383169203225
92026,25380.0,2750,14350.0,10.835303388494879,56.54058313632782
92027,26100.0,3640,15460.0,13.946360153256704,59.23371647509579
92028,24510.0,3010,15460.0,12.280701754385964,63.07629538963688
92029,10420.0,770,5690.0,7.389635316698656,54.606525911708246
92036,1700.0,240,940.0,14.117647058823529,55.294117647058826
92037,19110.0,690,12170.0,3.610675039246468,63.68393511250654
92040,20820.0,2530,11190.0,12.151777137367915,53.7463976945245
92054,18970.0,2240,10590.0,11.808118081180812,55.82498682129678
92056,27440.0,2400,15030.0,8.746355685131196,54.7740524781341
92057,28340.0,2950,16060.0,10.409315455187015,56.669019054340154
92058,16640.0,2910,8190.0,17.487980769230766,49.21875
92059,870.0,90,710.0,10.344827586206897,81.60919540229885
92061,1440.0,200,1010.0,13.88888888888889,70.13888888888889
92064,22610.0,1430,12050.0,6.324635117204777,53.29500221141088
92065,17690.0,1790,10080.0,10.118711136235161,56.98134539287734
92066,150.0,0,80.0,0.0,53.333333333333336
92069,22970.0,2680,12970.0,11.667392250761862,56.46495428820201
92070,560.0,100,350.0,17.857142857142858,62.5
92071,27240.0,2500,13590.0,9.177679882525698,49.88986784140969
92075,6570.0,260,4280.0,3.95738203957382,65.14459665144597
92078,22800.0,1740,12670.0,7.631578947368421,55.57017543859649
92081,14250.0,1240,7550.0,8.701754385964913,52.98245614035088
92082,10620.0,1220,6580.0,11.487758945386064,61.95856873822976
92083,18260.0,2880,11230.0,15.772179627601316,61.500547645125955
92084,23740.0,3200,14620.0,13.479359730412805,61.5838247683235
92086,610.0,80,380.0,13.114754098360656,62.295081967213115
92091,800.0,30,590.0,3.75,73.75
92101,24790.0,1940,11140.0,7.825736183945139,44.93747478822105
92102,19940.0,3680,11080.0,18.455366098294885,55.566700100300906
92103,19960.0,1090,9630.0,5.460921843687375,48.24649298597195
92104,24520.0,2260,10670.0,9.216965742251224,43.515497553017944
92105,30170.0,7390,18520.0,24.494530991050713,61.3854822671528
92106,9490.0,590,5620.0,6.217070600632244,59.22023182297155
92107,14560.0,1030,7270.0,7.074175824175824,49.93131868131868
92108,15110.0,1310,6590.0,8.669755129053607,43.613500992720056
92109,24480.0,1330,11370.0,5.433006535947713,46.44607843137255
92110,13350.0,1230,6720.0,9.213483146067416,50.337078651685395
92111,22410.0,2770,12100.0,12.360553324408746,53.99375278893351
92113,22390.0,6160,14240.0,27.51228226887003,63.599821348816434
92114,32350.0,5760,19360.0,17.805255023183925,59.84544049459042
92115,25940.0,4310,13250.0,16.61526599845798,51.07941403238242
92116,18110.0,1340,7840.0,7.399226946438432,43.29099944781888
92117,26850.0,2200,14010.0,8.193668528864059,52.178770949720665
92118,7830.0,430,4880.0,5.491698595146871,62.324393358876115
92119,11870.0,810,6530.0,6.823925863521482,55.01263689974726
92120,15400.0,1070,8190.0,6.948051948051948,53.18181818181819
92121,2400.0,130,1140.0,5.416666666666667,47.5
92122,20290.0,1040,9220.0,5.125677673730902,45.44110399211434
92123,15280.0,1520,6930.0,9.947643979057592,45.35340314136126
92124,13090.0,1410,6030.0,10.771581359816654,46.06569900687548
92126,37900.0,3350,19330.0,8.839050131926122,51.002638522427446
92127,20990.0,1040,10690.0,4.954740352548833,50.92901381610291
92128,24500.0,1130,12330.0,4.612244897959183,50.3265306122449
92129,24990.0,1480,11820.0,5.922368947579031,47.29891956782713
92130,27690.0,1210,14850.0,4.369808595160707,53.62946912242686
92131,17530.0,700,9100.0,3.993154592127781,51.91100969766115
92139,17460.0,2650,10430.0,15.177548682703321,59.73654066437572
92154,47170.0,9140,30330.0,19.376722493110027,64.29934280262879
92173,27030.0,7800,19180.0,28.85682574916759,70.95819459859416
92201,27040.0,6830,18580.0,25.25887573964497,68.71301775147928
92203,14430.0,1700,9460.0,11.781011781011781,65.55786555786555
92210,1990.0,60,1600.0,3.015075376884422,80.40201005025126
92211,13280.0,1040,8940.0,7.83132530120482,67.31927710843374
92220,15810.0,2870,9940.0,18.153067678684376,62.871600253004424
92223,28810.0,3780,17920.0,13.120444290177021,62.20062478306144
92225,5800.0,1700,4310.0,29.310344827586203,74.3103448275862
92227,11650.0,3620,7270.0,31.072961373390555,62.40343347639485
92230,1070.0,340,690.0,31.775700934579437,64.48598130841121
92231,21560.0,8300,15770.0,38.49721706864564,73.14471243042672
92233,1610.0,510,1090.0,31.67701863354037,67.70186335403726
92234,23820.0,4430,16260.0,18.597816960537365,68.26196473551637
92236,19660.0,6340,14010.0,32.24821973550356,71.26144455747712
92240,17230.0,4920,10460.0,28.554846198491003,60.708067324434126
92241,3340.0,740,2100.0,22.15568862275449,62.874251497005986
92242,310.0,70,190.0,22.58064516129032,61.29032258064516
92243,21790.0,6730,14500.0,30.88572739788894,66.54428636989445
92249,3170.0,960,2210.0,30.28391167192429,69.71608832807571
92250,3550.0,940,2410.0,26.478873239436616,67.88732394366197
92251,10570.0,1940,6840.0,18.353831598864712,64.71144749290445
92252,2910.0,600,1460.0,20.618556701030926,50.171821305841924
92253,17040.0,1950,11320.0,11.443661971830986,66.43192488262912
92254,6600.0,2550,4590.0,38.63636363636363,69.54545454545455
92256,1460.0,280,790.0,19.17808219178082,54.109589041095894
92257,440.0,140,280.0,31.818181818181817,63.63636363636363
92260,14390.0,1630,9760.0,11.3273106323836,67.82487838776929
92262,12310.0,1590,7830.0,12.916328188464663,63.6068237205524
92264,9610.0,780,6130.0,8.116545265348595,63.78772112382934
92270,9160.0,500,6780.0,5.458515283842795,74.0174672489083
92274,8260.0,2840,5700.0,34.38256658595641,69.00726392251816
92276,3700.0,760,2540.0,20.54054054054054,68.64864864864865
92277,8230.0,1970,3180.0,23.93681652490887,38.639125151883356
92282,490.0,130,290.0,26.53061224489796,59.183673469387756
92283,940.0,420,570.0,44.680851063829785,60.63829787234043
92284,9600.0,1810,4830.0,18.854166666666668,50.31250000000001
92285,730.0,190,390.0,26.027397260273972,53.42465753424658
92301,14450.0,4920,8910.0,34.048442906574394,61.66089965397924
92305,260.0,20,170.0,7.6923076923076925,65.38461538461539
92307,17680.0,3840,10540.0,21.71945701357466,59.61538461538461
92308,17830.0,3720,10740.0,20.86371284352215,60.235558048233315
92309,250.0,40,170.0,16.0,68.0
92310,2440.0,470,900.0,19.262295081967213,36.885245901639344
92311,12820.0,3910,7340.0,30.49921996879875,57.25429017160687
92313,6120.0,890,3660.0,14.54248366013072,59.80392156862745
92314,3600.0,540,2190.0,15.0,60.83333333333333
92315,2990.0,470,1930.0,15.719063545150503,64.54849498327759
92316,14620.0,3390,10660.0,23.187414500683996,72.91381668946649
92320,5470.0,580,3400.0,10.603290676416819,62.15722120658135
92324,26860.0,6220,17690.0,23.15711094564408,65.86001489203277
92327,180.0,50,90.0,27.77777777777778,50.0
92328,170.0,0,50.0,0.0,29.411764705882355
92335,42830.0,10110,31450.0,23.604949801540975,73.42983889796871
92336,49980.0,7500,33510.0,15.006002400960384,67.046818727491
92337,17280.0,2840,12190.0,16.435185185185187,70.54398148148148
92339,520.0,60,310.0,11.538461538461538,59.61538461538461
